Tweet,sentiment
 luvjuan maygodblessallsoul hopepeac grace peopl smart tell deadli diseas “virus” scien…,Strongly Positive
 murtazaview pdm not permit hold dec thirteen ralli due rise covid19 case deputi commission lahor,Neutral
 cbsla restaur owner forc shut coronaviru restrict frustrat film crew abl s…,Negative
 sumoh7 worth read IN full gtgtgt remdesivir covid19 covid19 coronaviru monoclonalantibodi healthcar insur pharmaceutic…,Positive
 lauriegarrett stellar detail report florida gov desanti order downplay cover true extent covid19 i…,Positive
PM modi say india better equip vaccin mass coronaviru vaccin via namo A…,Positive
 donnyc1975 polish refriger van deliv coronaviru vaccin direct belgium UK that’ come via calai D…,Neutral
“imagin pearl harbor happen spent seven eight month decid whether not go fi…,Neutral
katieogrady4 stevenbeschloss the gop own forevermor neverforget,Neutral
 crulg biden say nobodi pay covid care but what’ differ catch coronaviru get cancer—with…,Positive
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 crimesmelan the vaccin IS scam moderna boss say covid19 vaccin not proven stop spread viru moderna’ coronaviru vaccin…,Negative
all reason diabet vigil practic handwash social distanc mask protocol…,Neutral
 thehindu haryana health minist anil vij test posit coronaviru hospitalis hospit ambala https…,Neutral
 abscbnnew the govern readi spend much p73 billion procur coronaviru vaccin achiev herd immuni…,Neutral
 cbsla restaur owner forc shut coronaviru restrict frustrat film crew abl s…,Negative
 khaleejtim indian minist got vaccin test covid19 posit,Neutral
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 wef attitud toward femal leader havent chang despit coronaviru success gender leadership …,Strongly Positive
new the health minist tri clarifi call fake news internet regard coronavirus…,Negative
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 benjaminhaddad thi realli smart piec carolinegruyt ten year ago europ seem divid cosmopolitan nationa…,Positive
 agarwaldrsam singapor woman contract covid19 give birth babi antibodi via dna web team,Neutral
did rhett and link caus coronaviru BC OF their hazard ice cream sandwich from “i’m ON vacation”,Neutral
 sohinigr He administ trial dose coronaviru vaccin part third phase trial bharat biotech covaxin https…,Neutral
